City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,-49.35,2.27,97,100,13.73,TF,1715621328
1,albany,42.6001,42.6001,21.08,54,39,1.79,US,1715621055
2,port elizabeth,-33.918,-33.918,20.05,92,20,5.66,ZA,1715621330
3,yaren,-0.5472,-0.5472,28.84,71,93,3.94,NR,1715621330
4,avarua,-21.2078,-21.2078,24.03,88,75,2.57,CK,1715621331
5,lazaro cardenas,17.9583,17.9583,30.1,43,100,4.7,MX,1715621332
6,ushuaia,-54.8,-54.8,6.79,70,40,16.46,AR,1715621057
7,adamstown,-25.066,-25.066,20.7,73,0,3.15,PN,1715621333
8,puerto ayora,-0.7393,-0.7393,28.98,90,72,2.24,EC,1715621334
9,nova vicosa,-17.8919,-17.8919,30.06,59,5,4.29,BR,1715621334
10,edinburgh of the seven seas,-37.0676,-37.0676,13.81,60,60,10.97,SH,1715621122
11,rikaze,29.25,29.25,12.45,36,91,4.33,CN,1715621334
12,coquimbo,-29.9533,-29.9533,16.85,55,0,5.14,CL,1715620722
13,san felice circeo,41.2372,41.2372,22.09,65,99,1.87,IT,1715621335
14,badger,64.8,64.8,10.21,69,75,0.0,US,1715621335
15,arkhangel'sk,64.5401,64.5401,5.06,56,20,1.0,RU,1715621335
16,ancud,-41.8697,-41.8697,8.78,64,97,3.69,CL,1715621335
17,aasiaat,68.7098,68.7098,-2.36,92,100,3.19,GL,1715621335
18,thompson,55.7435,55.7435,3.09,60,20,3.6,CA,1715621335
19,axim,4.8699,4.8699,27.71,83,100,2.68,GH,1715621335
20,mount gambier,-37.8333,-37.8333,11.9,66,100,1.51,AU,1715621336
21,eyl,7.9803,7.9803,29.79,75,9,5.74,SO,1715621262
22,marsh harbour,26.5412,26.5412,25.44,68,87,5.97,BS,1715621336
23,atafu village,-8.5421,-8.5421,29.27,75,55,7.38,TK,1715621177
24,shimoda,34.6667,34.6667,15.06,91,100,6.64,JP,1715621336
25,iqaluit,63.7506,63.7506,-7.15,52,40,6.17,CA,1715621336
26,bredasdorp,-34.5322,-34.5322,14.3,91,6,4.16,ZA,1715621336
27,blackmans bay,-43.0167,-43.0167,11.52,69,82,1.79,AU,1715621337
28,bilibino,68.0546,68.0546,-6.28,93,100,2.15,RU,1715621337
29,hawaiian paradise park,19.5933,19.5933,23.83,94,40,2.06,US,1715621337
30,iskateley,67.6803,67.6803,-1.66,86,92,5.81,RU,1715621337
31,ain oussera,35.4514,35.4514,29.9,23,54,7.68,DZ,1715621337
32,sandpoint,48.2766,48.2766,20.92,45,0,3.09,US,1715621218
33,afaahiti,-17.75,-17.75,25.93,80,78,8.1,PF,1715621337
34,kyaikkami,16.08,16.08,29.45,79,29,4.89,MM,1715621338
35,pont rouge,48.8833,48.8833,14.16,50,99,5.28,CA,1715621338
36,georgetown,5.4112,5.4112,28.97,79,20,1.54,MY,1715621338
37,waitangi,-43.9535,-43.9535,8.79,70,100,6.63,NZ,1715621338
38,lebu,-37.6167,-37.6167,10.76,62,15,4.77,CL,1715621338
39,sitka,57.0531,57.0531,7.94,71,75,4.12,US,1715621338
40,port alfred,-33.5906,-33.5906,17.88,93,56,2.24,ZA,1715621338
41,dingwall,57.5953,57.5953,15.49,86,100,1.42,GB,1715621338
42,carnarvon,-24.8667,-24.8667,22.49,68,6,4.16,AU,1715621339
43,recani,31.2846,31.2846,35.93,8,31,9.31,MA,1715621339
44,klyuchi,52.2667,52.2667,15.88,37,0,3.46,RU,1715621339
45,wailua homesteads,22.0669,22.0669,24.36,89,40,4.12,US,1715621339
46,borkum,53.5809,53.5809,17.97,82,2,6.2,DE,1715621339
47,hasaki,35.7333,35.7333,14.22,80,100,10.39,JP,1715621340
48,puerto baquerizo moreno,-0.9,-0.9,27.55,74,40,4.63,EC,1715621340
49,guerrero negro,27.9769,27.9769,19.53,64,69,5.78,MX,1715621340
50,yuzhno-kurilsk,44.0306,44.0306,8.54,100,100,2.61,RU,1715621340
51,akjoujt,19.6969,19.6969,40.39,10,5,6.5,MR,1715621340
52,ola,59.5833,59.5833,3.97,96,100,4.94,RU,1715621340
53,ust-nera,64.5667,64.5667,-5.27,88,15,2.1,RU,1715621340
